Version 4
SHEET 1 3092 1476
WIRE 832 -464 816 -464
WIRE 1744 -464 1728 -464
WIRE 2944 -464 2928 -464
WIRE 816 -448 816 -464
WIRE 1456 -448 1456 -496
WIRE 1744 -448 1744 -464
WIRE 2656 -448 2656 -496
WIRE 2944 -448 2944 -464
WIRE 768 -432 720 -432
WIRE 1840 -432 1792 -432
WIRE 3040 -432 2992 -432
WIRE 832 -400 832 -464
WIRE 832 -400 816 -400
WIRE 1376 -400 1344 -400
WIRE 1504 -400 1472 -400
WIRE 1728 -400 1728 -464
WIRE 1744 -400 1728 -400
WIRE 2576 -400 2544 -400
WIRE 2704 -400 2672 -400
WIRE 2928 -400 2928 -464
WIRE 2944 -400 2928 -400
WIRE 1424 -368 1424 -400
WIRE 2624 -368 2624 -400
WIRE 1424 -352 1424 -368
WIRE 2624 -352 2624 -368
WIRE 816 -288 816 -352
WIRE 1344 -288 1344 -400
WIRE 1344 -288 1040 -288
WIRE 1504 -288 1504 -400
WIRE 1744 -288 1744 -352
WIRE 1744 -288 1504 -288
WIRE 1840 -288 1840 -432
WIRE 1888 -288 1840 -288
WIRE 2544 -288 2544 -400
WIRE 2544 -288 2240 -288
WIRE 2704 -288 2704 -400
WIRE 2944 -288 2944 -352
WIRE 2944 -288 2704 -288
WIRE 3040 -288 3040 -432
WIRE 3088 -288 3040 -288
WIRE 720 -272 720 -432
WIRE 720 -272 592 -272
WIRE 816 -224 816 -288
WIRE 1744 -224 1744 -288
WIRE 2944 -224 2944 -288
WIRE 592 -192 592 -272
WIRE 832 -176 816 -176
WIRE 1744 -176 1728 -176
WIRE 2944 -176 2928 -176
WIRE 720 -144 720 -272
WIRE 768 -144 720 -144
WIRE 1344 -144 1344 -288
WIRE 1376 -144 1344 -144
WIRE 1424 -144 1424 -192
WIRE 1504 -144 1504 -288
WIRE 1504 -144 1472 -144
WIRE 1840 -144 1840 -288
WIRE 1840 -144 1792 -144
WIRE 2544 -144 2544 -288
WIRE 2576 -144 2544 -144
WIRE 2624 -144 2624 -192
WIRE 2704 -144 2704 -288
WIRE 2704 -144 2672 -144
WIRE 3040 -144 3040 -288
WIRE 3040 -144 2992 -144
WIRE 832 -128 832 -176
WIRE 832 -128 816 -128
WIRE 1728 -128 1728 -176
WIRE 1744 -128 1728 -128
WIRE 2928 -128 2928 -176
WIRE 2944 -128 2928 -128
WIRE 1744 -96 1744 -128
WIRE 2944 -96 2944 -128
WIRE 592 -64 592 -112
WIRE 816 -64 816 -128
WIRE 1392 -48 1392 -96
WIRE 2592 -48 2592 -96
WIRE 704 16 592 16
WIRE 1200 64 1184 64
WIRE 2400 64 2384 64
WIRE 592 80 592 16
WIRE 1184 80 1184 64
WIRE 2384 80 2384 64
WIRE 1136 96 1088 96
WIRE 2336 96 2288 96
WIRE 816 112 816 64
WIRE 2080 112 2080 64
WIRE 1200 128 1200 64
WIRE 1200 128 1184 128
WIRE 2400 128 2400 64
WIRE 2400 128 2384 128
WIRE 800 160 768 160
WIRE 928 160 896 160
WIRE 2064 160 2032 160
WIRE 2192 160 2160 160
WIRE 848 192 848 160
WIRE 2112 192 2112 160
WIRE 592 208 592 160
WIRE 848 208 848 192
WIRE 2112 208 2112 192
WIRE 1184 240 1184 176
WIRE 1632 240 1184 240
WIRE 1808 240 1632 240
WIRE 1888 240 1888 -288
WIRE 1888 240 1808 240
WIRE 2032 240 2032 160
WIRE 2032 240 1888 240
WIRE 2192 240 2192 160
WIRE 2240 240 2240 -288
WIRE 2240 240 2192 240
WIRE 2288 240 2288 96
WIRE 2288 240 2240 240
WIRE 2384 240 2384 176
WIRE 2752 240 2384 240
WIRE 3008 240 2752 240
WIRE 3088 240 3088 -288
WIRE 3088 240 3008 240
WIRE 768 272 768 160
WIRE 768 272 704 272
WIRE 928 272 928 160
WIRE 992 272 928 272
WIRE 1040 272 1040 -288
WIRE 1040 272 992 272
WIRE 1088 272 1088 96
WIRE 1088 272 1040 272
WIRE 592 288 592 272
WIRE 1184 304 1184 240
WIRE 1632 304 1632 240
WIRE 2384 304 2384 240
WIRE 2752 304 2752 240
WIRE 416 336 416 272
WIRE 592 336 592 288
WIRE 992 336 992 272
WIRE 2240 336 2240 240
WIRE 1200 352 1184 352
WIRE 2400 352 2384 352
WIRE 1088 384 1088 272
WIRE 1136 384 1088 384
WIRE 2288 384 2288 240
WIRE 2336 384 2288 384
WIRE 1200 400 1200 352
WIRE 1200 400 1184 400
WIRE 2400 400 2400 352
WIRE 2400 400 2384 400
WIRE 768 416 768 272
WIRE 800 416 768 416
WIRE 848 416 848 368
WIRE 928 416 928 272
WIRE 928 416 896 416
WIRE 2032 416 2032 240
WIRE 2064 416 2032 416
WIRE 2112 416 2112 368
WIRE 2192 416 2192 240
WIRE 2192 416 2160 416
WIRE 1632 432 1632 368
WIRE 2752 432 2752 368
WIRE 416 464 416 416
WIRE 592 464 592 416
WIRE 992 464 992 400
WIRE 1184 464 1184 400
WIRE 2240 464 2240 400
WIRE 2384 464 2384 400
WIRE 880 512 880 464
WIRE 2144 512 2144 464
WIRE 1744 640 1632 640
WIRE 1856 640 1744 640
WIRE 1904 640 1856 640
WIRE 1744 672 1744 640
WIRE 1856 688 1856 640
WIRE 1744 800 1744 752
WIRE 1744 800 1632 800
WIRE 1856 800 1856 752
WIRE 1856 800 1744 800
